;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
10;50.0;2.0;25.0;25.0;18.75;28.12;23.44;46.88;65.62;37.5;70.31;25.0;0.0346;0.008785037803649903;68.75;10.0;25.0;25.0;21.88;31.25;25.0;50.0;67.19;37.5;71.88;25.0;0.03374;0.008646088762283325
11;50.0;2.0;25.0;25.0;18.75;28.12;23.44;46.88;65.62;37.5;70.31;25.0;0.0349;0.008748640823364257;68.75;9.0;25.0;25.0;21.88;31.25;25.0;50.0;67.19;37.5;71.88;25.0;0.0354;0.008612081422805786
12;50.0;2.0;25.0;25.0;18.75;28.12;23.44;46.88;65.62;37.5;70.31;25.0;0.0363;0.008715391206741334;68.75;7.0;25.0;25.0;21.88;31.25;25.0;50.0;67.19;37.5;71.88;25.0;0.03624;0.008582499523162842
13;46.88;2.0;25.0;25.0;18.75;28.12;23.44;46.88;65.62;37.5;70.31;25.0;0.037;0.008684558582305909;65.62;6.0;25.0;25.0;21.88;31.25;26.56;50.0;67.19;37.5;71.88;25.0;0.03652;0.00855094690322876
14;46.88;2.0;25.0;25.0;18.75;28.12;23.44;46.88;65.62;37.5;70.31;25.0;0.0378;0.00865226755142212;65.62;5.0;25.0;25.0;21.88;34.38;26.56;50.0;67.19;37.5;71.88;25.0;0.03764;0.008522282924652099
15;46.88;2.0;25.0;25.0;18.75;28.12;23.44;45.31;65.62;37.5;70.31;25.0;0.0402;0.00862028522491455;65.62;5.0;25.0;25.0;21.88;34.38;26.56;50.0;67.19;37.5;71.88;25.0;0.03776;0.008497557992935181
16;46.88;2.0;25.0;25.0;18.75;28.12;23.44;45.31;65.62;37.5;70.31;25.0;0.0438;0.0085990092754364;65.62;4.0;25.0;31.25;21.88;34.38;26.56;48.44;67.19;37.5;70.31;25.0;0.04002;0.008471009302139282
17;46.88;2.0;25.0;25.0;18.75;28.12;23.44;45.31;65.62;37.5;68.75;25.0;0.0447;0.008574486160278321;65.62;3.0;25.0;31.25;21.88;34.38;26.56;48.44;67.19;37.5;70.31;25.0;0.04138;0.008443057870864868
18;46.88;2.0;25.0;25.0;18.75;28.12;23.44;45.31;65.62;37.5;68.75;25.0;0.0446;0.008547695350646973;65.62;3.0;25.0;31.25;21.88;34.38;26.56;48.44;67.19;37.5;70.31;25.0;0.0428;0.008421825561523438
19;43.75;2.0;25.0;25.0;18.75;28.12;23.44;45.31;65.62;37.5;68.75;25.0;0.0467;0.0085202166557312;65.62;3.0;25.0;31.25;21.88;34.38;26.56;48.44;67.19;37.5;70.31;25.0;0.04214;0.00839836651802063
20;43.75;2.0;25.0;25.0;21.88;28.12;23.44;45.31;65.62;37.5;68.75;25.0;0.0473;0.008494164228439332;62.5;3.0;25.0;31.25;21.88;34.38;26.56;48.44;67.19;37.5;70.31;25.0;0.04476;0.008377545356750489
21;43.75;2.0;25.0;25.0;21.88;28.12;23.44;45.31;65.62;37.5;68.75;25.0;0.0482;0.008471650457382202;62.5;3.0;25.0;31.25;21.88;34.38;26.56;48.44;67.19;37.5;70.31;25.0;0.04498;0.008353507823944091
22;43.75;2.0;25.0;25.0;21.88;28.12;23.44;45.31;65.62;37.5;68.75;25.0;0.0487;0.008451632452011108;62.5;3.0;25.0;31.25;21.88;34.38;26.56;48.44;67.19;37.5;70.31;31.25;0.04766;0.00833232666015625
23;43.75;2.0;25.0;25.0;21.88;28.12;23.44;45.31;65.62;37.5;68.75;25.0;0.05;0.008428767108917237;62.5;3.0;25.0;31.25;25.0;34.38;26.56;48.44;67.19;37.5;70.31;31.25;0.04888;0.008313028001785279
24;43.75;2.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;25.0;0.0513;0.00840914602279663;62.5;3.0;25.0;31.25;25.0;34.38;26.56;48.44;67.19;37.5;70.31;31.25;0.04784;0.008291609039306641
25;43.75;2.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;25.0;0.0516;0.008377288722991944;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;37.5;70.31;31.25;0.05028;0.00827379111289978
26;43.75;2.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;25.0;0.0538;0.008362303304672242;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;37.5;70.31;31.25;0.0507;0.008259246110916137
27;43.75;2.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;25.0;0.0547;0.008336845827102661;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;37.5;70.31;31.25;0.053;0.008232254734039306
28;43.75;2.0;25.0;31.25;21.88;31.25;23.44;45.31;65.62;37.5;68.75;31.25;0.0572;0.008311820602416992;62.5;3.0;25.0;31.25;25.0;34.38;25.0;48.44;67.19;37.5;70.31;31.25;0.05426;0.008214006671905517
