;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
39;43.36;30.0;37.5;26.56;21.88;43.75;49.61;33.79;57.42;31.25;59.77;59.38;66.99;67.19;27.34;0.6211;0.04561563901305199;56.25;35.0;60.94;25.78;28.52;48.05;55.47;49.41;65.43;31.25;67.97;62.7;70.31;69.92;32.03;0.76898;0.023635140249729156
40;43.75;30.0;37.5;25.78;22.27;43.75;49.61;34.18;57.62;31.25;60.16;59.38;67.19;67.38;27.34;0.6295;0.04555356178879738;56.25;35.0;60.94;25.78;28.52;48.05;55.47;49.8;65.62;29.69;68.16;62.7;70.31;70.12;32.03;0.77712;0.022946888289153575
41;43.75;30.0;37.5;25.78;22.27;43.75;50.0;34.38;58.01;31.25;60.55;59.38;67.19;67.77;27.34;0.6217;0.04663837887048721;56.25;35.0;60.94;25.0;28.52;47.66;55.86;50.0;65.82;29.69;68.55;62.7;70.51;70.31;32.03;0.78388;0.022088382600545884
42;43.75;30.0;37.5;25.78;22.27;43.75;50.0;34.57;58.2;31.25;60.74;59.57;67.38;67.97;27.34;0.6211;0.047311512970924376;56.25;35.0;60.94;25.0;28.52;47.66;55.86;50.2;66.02;29.69;68.75;62.7;70.51;70.51;32.03;0.79202;0.0213608024469018
43;44.14;30.0;37.5;25.78;22.66;44.14;50.0;34.77;58.4;31.25;61.13;59.57;67.58;68.16;27.34;0.6232;0.04651438974738121;56.25;36.0;60.94;25.0;28.52;47.66;55.86;50.39;66.21;29.69;69.14;62.7;70.7;70.7;32.03;0.79908;0.020381937052607536
44;44.14;30.0;37.5;25.78;22.66;44.14;50.39;35.16;58.59;31.25;61.52;59.57;67.58;68.36;27.34;0.6253;0.04719298984408379;56.25;36.0;60.94;25.0;28.52;47.66;55.86;50.78;66.41;29.69;69.34;62.7;70.7;70.9;32.03;0.80326;0.01975619934231043
45;44.14;30.0;39.06;25.78;22.66;44.14;50.39;35.35;58.79;31.25;61.72;59.57;67.77;68.55;28.12;0.6218;0.04830433030128479;56.25;36.0;60.94;25.0;28.12;47.66;55.86;50.98;66.41;29.69;69.73;62.7;70.7;71.09;32.03;0.81214;0.019031785532236098
46;44.53;30.0;39.06;25.78;22.66;44.14;50.78;35.55;58.98;31.25;62.11;59.57;67.77;68.75;28.12;0.6219;0.04760943601131439;56.25;36.0;60.94;25.0;28.12;47.66;55.86;51.17;66.6;28.12;69.92;62.7;70.9;71.29;32.03;0.81724;0.0184545237159729
47;44.53;30.0;39.06;25.78;23.05;44.14;50.78;35.74;59.18;31.25;62.3;59.57;67.97;68.95;28.12;0.6264;0.047625552821159364;56.25;36.0;59.38;25.0;28.12;47.66;55.86;51.37;66.8;28.12;70.12;62.7;70.9;71.29;32.03;0.8223;0.017849534908235074
48;44.53;31.0;39.06;25.78;23.05;44.53;50.78;35.94;59.38;31.25;62.7;59.57;67.97;69.14;28.12;0.6292;0.04789292712807655;56.25;36.0;59.38;25.0;28.12;47.66;55.86;51.56;66.8;28.12;70.31;62.7;70.9;71.48;32.03;0.83108;0.016918969947397708
49;44.53;31.0;39.06;25.78;23.05;44.53;51.17;36.33;59.57;29.69;62.89;59.77;68.16;69.34;28.12;0.6305;0.04871442918181419;56.25;36.0;59.38;24.22;28.12;47.27;56.25;51.76;66.99;28.12;70.7;62.7;70.9;71.68;32.03;0.83924;0.01604613068908453
