;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
10;53.52;16.0;7.81;26.56;16.41;29.3;21.68;39.65;59.57;21.88;66.21;17.97;0.302;0.022116307258605958;68.36;18.0;14.06;29.69;20.31;34.38;27.15;44.53;63.28;25.0;69.14;20.31;0.27942;0.022632240686416626
11;53.52;16.0;9.38;27.34;16.8;29.69;21.68;39.65;59.18;23.44;66.21;18.75;0.3071;0.021865434098243715;68.36;19.0;14.06;30.47;20.31;34.77;27.34;44.73;63.09;25.0;69.14;20.31;0.29848;0.021867572231292726
12;53.91;17.0;9.38;27.34;17.19;30.47;22.07;40.04;59.18;23.44;66.21;18.75;0.3371;0.02067826397418976;68.36;20.0;14.06;30.47;20.7;35.16;27.54;44.92;62.89;25.0;69.14;21.09;0.3152;0.021202039775848388
13;53.91;17.0;9.38;28.12;17.58;30.86;22.27;40.23;58.98;23.44;66.41;19.53;0.3552;0.01978806736469269;68.36;20.0;15.62;30.47;21.09;35.55;27.73;45.12;62.7;25.0;69.14;21.09;0.33124;0.020589525852203368
14;54.3;18.0;9.38;28.12;17.58;31.25;22.27;40.43;58.98;25.0;66.6;19.53;0.3664;0.019448640489578246;68.36;21.0;15.62;30.47;21.09;35.55;28.12;45.31;62.5;25.0;69.14;21.09;0.34678;0.019940242671966552
15;54.69;19.0;10.94;28.91;17.97;31.64;22.46;40.62;58.79;25.0;66.6;19.53;0.3783;0.018989354610443116;68.36;22.0;17.19;30.47;21.48;35.94;28.32;45.51;62.5;26.56;69.34;21.09;0.3593;0.019447920446395876
16;55.08;19.0;10.94;28.91;17.97;32.03;22.66;40.82;58.79;25.0;66.8;19.53;0.3953;0.01831086277961731;68.36;22.0;17.19;30.47;21.48;36.33;28.52;45.7;62.3;26.56;69.34;21.09;0.37408;0.01890834198474884
17;55.08;20.0;10.94;28.91;18.36;32.42;23.05;41.02;58.59;25.0;66.99;20.31;0.4094;0.017807825064659118;68.36;23.0;17.19;30.47;21.48;36.72;28.91;46.09;62.3;26.56;69.53;21.09;0.38922;0.01836883411884308
18;55.47;20.0;10.94;28.91;18.75;32.81;23.24;41.21;58.59;26.56;67.19;20.31;0.4192;0.017507069325447083;68.75;23.0;18.75;30.47;21.88;37.11;29.1;46.29;62.11;26.56;69.53;21.09;0.40342;0.017872855634689332
19;55.86;21.0;12.5;28.91;18.75;33.2;23.44;41.6;58.59;26.56;67.38;20.31;0.4244;0.017303820753097533;68.75;24.0;18.75;30.47;21.88;37.5;29.49;46.48;62.11;26.56;69.73;21.09;0.41232;0.017448868277072906
20;55.86;21.0;12.5;28.91;18.75;33.59;23.83;41.8;58.59;26.56;67.38;20.31;0.446;0.016563395297527313;68.75;24.0;18.75;30.47;22.27;37.5;29.69;46.88;62.11;26.56;69.73;21.09;0.42382;0.01704271338224411
21;56.25;22.0;14.06;28.91;19.14;33.98;24.02;42.19;58.59;26.56;67.58;20.31;0.4553;0.01636921271085739;68.75;24.0;18.75;30.47;22.27;37.89;30.08;47.07;62.11;26.56;69.92;21.09;0.43766;0.01657473743915558
22;56.25;22.0;14.06;28.91;19.14;34.38;24.22;42.38;58.4;26.56;67.77;20.31;0.4585;0.016147601675987243;68.75;25.0;20.31;30.47;22.27;38.28;30.27;47.46;62.11;26.56;69.92;21.09;0.44758;0.016207099823951722
