;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
21;40.62;13.0;37.5;53.12;46.88;68.75;51.56;32.81;43.75;37.5;0.3582;0.0196071932554245;43.75;16.0;37.5;56.25;54.69;73.44;54.69;34.38;43.75;40.62;0.32096;0.020652274465560914
22;40.62;13.0;37.5;53.12;46.88;68.75;51.56;32.81;43.75;37.5;0.366;0.01917439868450165;43.75;17.0;37.5;56.25;54.69;73.44;56.25;34.38;43.75;37.5;0.32748;0.02035813783168793
23;40.62;13.0;37.5;53.12;46.88;68.75;51.56;32.81;43.75;37.5;0.3775;0.019002866888046265;43.75;17.0;37.5;56.25;54.69;73.44;56.25;34.38;43.75;37.5;0.32886;0.020343074445724488
24;43.75;13.0;37.5;53.12;48.44;68.75;53.12;32.81;43.75;37.5;0.3813;0.01883719596862793;43.75;17.0;37.5;56.25;54.69;73.44;56.25;34.38;43.75;37.5;0.33742;0.020095889472961426
25;43.75;14.0;37.5;53.12;48.44;70.31;53.12;32.81;43.75;34.38;0.3788;0.01876000802516937;43.75;17.0;37.5;56.25;53.12;73.44;56.25;34.38;43.75;37.5;0.34152;0.019942830634117125
26;43.75;14.0;37.5;53.12;48.44;70.31;53.12;32.81;43.75;34.38;0.3864;0.01870168731212616;43.75;17.0;37.5;56.25;53.12;73.44;56.25;34.38;43.75;37.5;0.34276;0.019861856760978697
27;43.75;14.0;37.5;53.12;48.44;70.31;53.12;32.81;43.75;34.38;0.3947;0.01840337071418762;43.75;17.0;37.5;53.12;53.12;73.44;57.81;34.38;43.75;37.5;0.34842;0.019667339696884157
28;43.75;14.0;37.5;53.12;48.44;70.31;54.69;32.81;43.75;34.38;0.3951;0.018169924521446227;43.75;17.0;37.5;53.12;53.12;73.44;57.81;34.38;43.75;37.5;0.34836;0.01961212740421295
29;43.75;14.0;37.5;53.12;48.44;70.31;54.69;32.81;43.75;34.38;0.3853;0.01876441979408264;43.75;17.0;37.5;53.12;53.12;73.44;57.81;34.38;43.75;37.5;0.3545;0.01949794608592987
30;43.75;14.0;37.5;53.12;48.44;71.88;54.69;34.38;43.75;34.38;0.3944;0.018419963502883913;43.75;18.0;37.5;53.12;53.12;73.44;57.81;34.38;43.75;34.38;0.35652;0.01939630910396576
