;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
10;31.25;30.0;75.0;37.5;31.25;56.25;62.5;56.25;50.0;50.0;59.38;53.12;46.88;25.0;21.88;21.88;12.5;50.0;0.6014;0.035192930799722674;31.25;30.0;75.0;37.5;37.5;62.5;62.5;62.5;62.5;50.0;68.75;65.62;59.38;31.25;25.0;25.0;15.62;62.5;0.5613;0.039650009648799896
11;31.25;30.0;75.0;37.5;31.25;56.25;62.5;62.5;50.0;50.0;62.5;56.25;50.0;25.0;21.88;21.88;15.62;50.0;0.5976;0.03457099868655205;31.25;30.0;75.0;50.0;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;28.12;21.88;25.0;15.62;62.5;0.57064;0.03881396623253822
12;31.25;30.0;75.0;37.5;31.25;56.25;68.75;62.5;53.12;50.0;62.5;56.25;50.0;25.0;21.88;21.88;15.62;50.0;0.6083;0.03407639530301094;31.25;30.0;75.0;50.0;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;28.12;21.88;25.0;15.62;62.5;0.57882;0.038247847924232484
13;31.25;30.0;75.0;37.5;31.25;56.25;68.75;62.5;53.12;50.0;62.5;59.38;53.12;25.0;18.75;21.88;15.62;50.0;0.5897;0.03616567537784576;31.25;30.0;75.0;37.5;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;28.12;21.88;25.0;15.62;62.5;0.58832;0.03738733107209206
14;31.25;30.0;75.0;37.5;31.25;56.25;68.75;62.5;53.12;50.0;62.5;59.38;53.12;25.0;18.75;21.88;15.62;50.0;0.6324;0.0325275109410286;31.25;40.0;75.0;37.5;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;28.12;18.75;21.88;15.62;62.5;0.5954;0.036952952940464016
15;31.25;30.0;75.0;37.5;31.25;56.25;68.75;62.5;53.12;50.0;62.5;59.38;53.12;25.0;18.75;21.88;15.62;50.0;0.6417;0.03154746775627136;31.25;40.0;75.0;37.5;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;25.0;18.75;21.88;15.62;62.5;0.59938;0.0363841625058651
16;31.25;30.0;75.0;37.5;31.25;56.25;68.75;62.5;53.12;50.0;62.5;59.38;53.12;21.88;18.75;21.88;15.62;50.0;0.6548;0.030877516347169877;31.25;40.0;75.0;37.5;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;25.0;18.75;21.88;15.62;62.5;0.60522;0.036098888252973554
17;31.25;30.0;75.0;37.5;31.25;56.25;68.75;62.5;56.25;50.0;62.5;59.38;56.25;21.88;18.75;21.88;15.62;50.0;0.6396;0.032051272317767145;31.25;40.0;75.0;37.5;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;25.0;18.75;21.88;15.62;50.0;0.61066;0.03556732704997063
18;25.0;30.0;75.0;37.5;31.25;56.25;68.75;62.5;56.25;50.0;62.5;62.5;56.25;21.88;18.75;21.88;15.62;50.0;0.6503;0.030524080884456635;31.25;30.0;75.0;37.5;37.5;62.5;68.75;68.75;62.5;50.0;68.75;65.62;59.38;25.0;18.75;21.88;15.62;50.0;0.61616;0.0352495328772068
19;25.0;30.0;75.0;37.5;31.25;56.25;68.75;62.5;56.25;50.0;62.5;62.5;56.25;21.88;18.75;21.88;15.62;50.0;0.6519;0.03079652597308159;31.25;30.0;75.0;37.5;37.5;62.5;68.75;62.5;62.5;50.0;68.75;65.62;59.38;25.0;18.75;21.88;15.62;50.0;0.61738;0.03500171927690506
