;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
10;20.31;14.0;31.25;43.75;32.81;50.0;53.12;50.0;29.69;68.75;46.09;45.31;35.94;17.97;11.72;7.81;8.59;37.5;0.314;0.020590854334831238;28.12;18.0;43.75;46.88;46.88;59.38;60.94;57.81;46.88;68.75;61.72;61.72;53.12;26.56;16.41;10.94;10.94;43.75;0.29548;0.02105044538974762
11;18.75;14.0;37.5;43.75;34.38;50.0;53.12;51.56;30.47;68.75;47.66;47.66;38.28;18.75;10.94;7.81;8.59;40.62;0.3117;0.020911694049835203;28.12;18.0;43.75;46.88;46.88;57.81;60.94;57.81;47.66;68.75;61.72;62.5;53.91;25.78;14.84;10.16;10.94;43.75;0.31474;0.020540392541885374
12;18.75;14.0;37.5;40.62;34.38;50.0;54.69;51.56;31.25;68.75;49.22;49.22;39.84;18.75;10.94;7.81;8.59;37.5;0.3449;0.01967607524394989;26.56;19.0;43.75;43.75;46.88;56.25;60.94;57.81;47.66;68.75;61.72;62.5;54.69;24.22;14.06;9.38;10.94;43.75;0.32908;0.02000388247013092
13;18.75;14.0;37.5;40.62;34.38;50.0;54.69;53.12;32.03;68.75;50.0;50.78;41.41;18.75;10.94;7.03;8.59;40.62;0.3603;0.019160366010665893;26.56;19.0;43.75;43.75;46.88;56.25;60.94;57.81;47.66;68.75;61.72;63.28;55.47;23.44;13.28;8.59;10.16;43.75;0.33902;0.019581647977828978
14;18.75;15.0;37.5;40.62;35.94;50.0;54.69;53.12;32.81;68.75;51.56;51.56;42.97;18.75;10.16;7.03;8.59;40.62;0.3544;0.019253666377067567;25.0;20.0;43.75;43.75;46.88;56.25;60.94;57.81;47.66;68.75;62.5;63.28;56.25;22.66;12.5;7.81;10.16;43.75;0.35412;0.01918724953651428
15;18.75;15.0;37.5;40.62;35.94;50.0;56.25;53.12;33.59;68.75;52.34;53.12;44.53;19.53;10.16;7.03;8.59;40.62;0.3591;0.019469875597953795;25.0;20.0;43.75;43.75;46.88;54.69;60.94;57.81;48.44;68.75;62.5;63.28;57.03;22.66;11.72;7.81;10.16;43.75;0.36384;0.018842040152549745
16;17.19;15.0;37.5;40.62;35.94;48.44;56.25;54.69;33.59;68.75;53.12;53.91;45.31;19.53;10.16;7.03;8.59;40.62;0.383;0.01863929078578949;23.44;21.0;43.75;43.75;46.88;54.69;60.94;57.81;48.44;68.75;62.5;64.06;57.81;21.88;10.94;7.03;10.16;43.75;0.37324;0.01846210230588913
17;17.19;15.0;43.75;40.62;35.94;48.44;56.25;54.69;34.38;68.75;53.12;54.69;46.88;19.53;10.16;6.25;8.59;40.62;0.3844;0.018642315769195558;23.44;21.0;50.0;43.75;45.31;53.12;60.94;57.81;48.44;68.75;62.5;64.06;58.59;21.88;10.94;7.03;10.16;43.75;0.38442;0.0181525369143486
18;17.19;15.0;43.75;40.62;35.94;48.44;56.25;54.69;35.16;68.75;53.91;55.47;48.44;19.53;9.38;6.25;8.59;40.62;0.4032;0.017720993077754973;23.44;21.0;50.0;43.75;45.31;53.12;59.38;57.81;48.44;68.75;62.5;64.06;59.38;21.88;10.16;7.03;9.38;43.75;0.3944;0.017856253311634065
19;17.19;15.0;43.75;40.62;35.94;48.44;56.25;54.69;35.94;68.75;54.69;56.25;49.22;19.53;9.38;6.25;8.59;40.62;0.4131;0.017398755288124085;21.88;22.0;50.0;43.75;45.31;53.12;59.38;57.81;48.44;68.75;62.5;64.06;60.16;21.88;10.16;6.25;9.38;43.75;0.40302;0.01754694690704346
