;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
32;43.75;5.0;18.75;28.12;17.19;32.81;31.25;21.09;42.19;31.25;43.75;62.5;69.53;67.19;25.0;0.1114;0.0076618144989013676;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;44.53;31.25;46.09;64.84;71.09;68.75;25.0;0.10288;0.007615176815986634
33;43.75;5.0;18.75;28.12;17.19;32.81;31.25;21.09;42.19;31.25;42.97;62.5;69.53;67.19;25.0;0.1136;0.00762684633731842;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;44.53;31.25;45.31;64.06;71.09;68.75;25.0;0.10562;0.007573464279174805
34;43.75;5.0;18.75;28.12;17.19;32.81;31.25;21.09;42.19;31.25;42.97;62.5;69.53;66.41;25.0;0.117;0.0075928405284881595;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;44.53;31.25;45.31;64.06;71.09;68.75;25.0;0.10884;0.007537928805351257
35;45.31;5.0;18.75;31.25;17.19;32.81;32.81;21.09;41.41;31.25;42.97;62.5;69.53;66.41;25.0;0.1188;0.007545458221435547;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;44.53;31.25;45.31;64.06;71.09;67.97;25.0;0.11098;0.007501306619644165
36;45.31;5.0;18.75;31.25;17.19;32.81;32.81;21.09;41.41;31.25;42.97;62.5;68.75;66.41;25.0;0.1224;0.00751014175415039;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;44.53;31.25;45.31;64.06;71.09;67.97;25.0;0.1124;0.007470374293327331
37;45.31;5.0;18.75;31.25;17.19;32.81;32.81;21.09;41.41;31.25;42.97;61.72;68.75;66.41;25.0;0.1226;0.007475822949409485;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;44.53;31.25;45.31;64.06;70.31;67.97;25.0;0.11362;0.0074353338956832885
38;45.31;5.0;18.75;31.25;17.19;32.81;32.81;21.09;41.41;31.25;42.97;61.72;68.75;66.41;25.0;0.1268;0.007430808091163635;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;44.53;31.25;45.31;64.06;70.31;67.97;25.0;0.11578;0.007403570685386658
39;45.31;6.0;18.75;31.25;17.19;34.38;32.81;21.09;41.41;31.25;42.97;61.72;68.75;66.41;28.12;0.13;0.007406018972396851;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;31.25;45.31;64.06;70.31;67.97;25.0;0.12;0.007364635281562805
40;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;61.72;68.75;65.62;28.12;0.1345;0.007358483219146728;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;31.25;44.53;63.28;70.31;67.97;25.0;0.12404;0.007334021534919739
41;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;61.72;68.75;65.62;28.12;0.1377;0.007321088266372681;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;31.25;44.53;63.28;70.31;67.19;25.0;0.12402;0.007308585057258606
42;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;61.72;68.75;65.62;28.12;0.1396;0.00729002058506012;60.94;6.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;31.25;44.53;63.28;70.31;67.19;28.12;0.12664;0.00727407660484314
43;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;61.72;67.97;65.62;28.12;0.1481;0.007262375617027282;62.5;6.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;31.25;44.53;63.28;70.31;67.19;28.12;0.13102;0.007240884141921997
44;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;61.72;67.97;65.62;28.12;0.1442;0.007231251716613769;62.5;7.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;31.25;44.53;63.28;69.53;67.19;28.12;0.13316;0.007212365374565125
45;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;60.94;67.97;65.62;28.12;0.148;0.0071930561304092405;62.5;7.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;31.25;44.53;63.28;69.53;67.19;28.12;0.13776;0.00717497585773468
46;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;60.94;67.97;65.62;28.12;0.1539;0.007159838151931762;62.5;7.0;18.75;31.25;18.75;35.94;34.38;22.66;43.75;37.5;44.53;63.28;69.53;67.19;28.12;0.13672;0.007151277141571045
47;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;60.94;67.97;64.84;28.12;0.1522;0.0071368509769439694;62.5;7.0;18.75;31.25;20.31;35.94;34.38;22.66;43.75;37.5;44.53;62.5;69.53;67.19;28.12;0.13978;0.007118642630577088
48;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.09;41.41;31.25;42.19;60.94;67.97;64.84;28.12;0.1577;0.007091705656051636;62.5;7.0;18.75;31.25;20.31;35.94;34.38;22.66;43.75;37.5;43.75;62.5;69.53;66.41;28.12;0.14422;0.007094850468635559
49;45.31;6.0;18.75;31.25;18.75;34.38;32.81;21.88;41.41;37.5;42.19;60.94;67.97;64.84;28.12;0.1608;0.007072493124008179;62.5;7.0;18.75;31.25;20.31;35.94;34.38;22.66;43.75;37.5;43.75;62.5;69.53;66.41;28.12;0.14724;0.00705652587890625
