;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
10;25.0;13.0;37.5;43.75;31.25;48.44;54.69;32.03;50.78;50.0;49.22;29.69;18.75;9.38;40.62;0.3604;0.019540901112556457;34.38;17.0;50.0;46.88;45.31;57.81;62.5;51.56;64.84;56.25;64.06;39.06;26.56;11.72;50.0;0.35464;0.01920137574195862
11;26.56;13.0;43.75;43.75;31.25;48.44;56.25;33.59;51.56;50.0;51.56;30.47;18.75;9.38;43.75;0.374;0.01916035885810852;34.38;17.0;50.0;46.88;45.31;57.81;64.06;52.34;64.84;56.25;64.84;39.06;25.78;10.94;50.0;0.37038;0.018607606513500213
12;26.56;13.0;43.75;43.75;32.81;48.44;57.81;34.38;53.12;50.0;53.12;31.25;18.75;9.38;43.75;0.3973;0.017906811618804933;34.38;18.0;50.0;46.88;43.75;56.25;64.06;52.34;64.84;56.25;66.41;39.06;25.0;10.94;50.0;0.38464;0.018151608095169067
13;26.56;14.0;43.75;43.75;32.81;48.44;57.81;35.16;53.91;50.0;54.69;31.25;19.53;9.38;43.75;0.408;0.017684127724170686;34.38;18.0;50.0;43.75;43.75;56.25;64.06;53.12;64.84;50.0;67.19;39.06;24.22;10.94;50.0;0.39664;0.017701491148471832
14;26.56;14.0;43.75;43.75;32.81;48.44;59.38;35.94;54.69;50.0;56.25;32.03;19.53;9.38;43.75;0.4143;0.01751481373310089;34.38;18.0;50.0;43.75;43.75;54.69;64.06;53.12;65.62;50.0;67.97;39.06;23.44;10.94;46.88;0.41168;0.01730588755130768
15;26.56;14.0;43.75;43.75;32.81;48.44;59.38;36.72;55.47;50.0;57.03;32.81;19.53;9.38;43.75;0.431;0.01687979484796524;34.38;19.0;56.25;43.75;43.75;54.69;64.06;53.91;65.62;50.0;68.75;39.06;23.44;10.94;46.88;0.42264;0.016868582661151887
16;26.56;14.0;50.0;43.75;32.81;46.88;59.38;37.5;57.03;50.0;58.59;33.59;20.31;9.38;43.75;0.4292;0.017070023143291473;34.38;19.0;56.25;43.75;42.19;53.12;64.06;53.91;65.62;50.0;68.75;39.06;22.66;10.94;46.88;0.4338;0.016562295813560488
17;26.56;14.0;50.0;43.75;32.81;46.88;59.38;38.28;57.81;50.0;59.38;33.59;20.31;9.38;43.75;0.4563;0.016154183757305145;34.38;19.0;56.25;43.75;42.19;51.56;64.06;53.91;65.62;50.0;69.53;39.06;22.66;10.94;46.88;0.44326;0.016274157531261445
18;26.56;14.0;50.0;43.75;32.81;46.88;60.94;38.28;57.81;50.0;60.94;34.38;20.31;9.38;43.75;0.443;0.016475302481651306;34.38;20.0;56.25;43.75;42.19;51.56;64.06;54.69;65.62;50.0;70.31;39.06;22.66;10.94;46.88;0.45098;0.015896724672317505
19;26.56;14.0;50.0;43.75;34.38;46.88;60.94;39.06;58.59;50.0;61.72;34.38;20.31;10.16;43.75;0.4483;0.016297097957134247;34.38;20.0;56.25;43.75;40.62;50.0;64.06;54.69;65.62;50.0;70.31;39.84;22.66;10.94;46.88;0.46328;0.015533966290950775
